15,16,17,18,19,20,21,22,23,24,25,26,27
1,90924002,82606134,72780220,52943701,77528109,96384524,77345061,98290873,79879127,95373403,54887908,82703597
2,-41623278,-40464347,-30806326,-21412962,-37047252,-44819597,-34847393,-47903350,-35880653,-44982115,-26929424,-34233473
3,-4454359,-3386032,-3389705,-2149257,-3168079,-4417624,-3386461,-4052846,-3418737,-4365527,-2455561,-3646726
4,-9901680,-9871172,-8459696,-6303408,-8493573,-11082494,-8081033,-11070018,-8410665,-10081727,-6300578,-9099438
5,-951255,-838985,-872700,-624416,-919835,-1085296,-818602,-1040585,-803190,-1158623,-611335,-941542
6,-4094116,-3599297,-3213050,-2466394,-3350416,-3973250,-3752045,-4170217,-3524451,-4281007,-2727155,-3711633
7,-5261471,-4215309,-3781799,-2788120,-4656777,-5399647,-4448901,-5654825,-4598250,-5505410,-2908553,-4664773
8,-7549491,-6744180,-5424173,-3818856,-5935455,-7685036,-6661232,-8035238,-6167182,-8233098,-4016737,-6547629
9,-1865763,-2004386,-1667521,-1103735,-1617994,-2316878,-1579791,-2223673,-1869698,-2043854,-1365202,-1696008
10,20003280,24781840,15283846,15883110,19382027,22168441,18562815,29487262,23164947,27658287,14819735,18194791
11,-9353324,-11513937,-6166965,-7501106,-8496461,-9798685,-8555070,-14039373,-11551839,-13628227,-7257645,-9083320
12,-941821,-1002323,-746736,-764074,-808144,-1061422,-808354,-1421840,-950267,-1278394,-675574,-772637
13,-2496366,-2697904,-1679239,-1918713,-2215557,-2480892,-2182363,-3410389,-2427536,-3305300,-1808374,-2032444
14,-212638,-297458,-167930,-194736,-235827,-260283,-221103,-348081,-260895,-321588,-172652,-185865
15,-977169,-1029549,-674412,-792920,-900465,-993534,-884213,-1430413,-1146956,-1115640,-638663,-822644
16,-1176605,-1291439,-934063,-937518,-1139418,-1356373,-1140096,-1606577,-1429418,-1399794,-752770,-1078181
17,-1729022,-2125980,-1266805,-1181160,-1678429,-1922968,-1563338,-2266251,-1651944,-2138006,-1069556,-1550361
18,-477650,-500810,-350137,-390161,-444748,-502205,-401191,-701616,-517674,-616922,-308776,-393674
19,32732641,30564270,26200879,19589169,29460681,36626119,23976969,34401806,29555277,31473223,17015251,31427367
20,-15174996,-13026257,-11675693,-8655251,-12015866,-15700152,-9675687,-16111034,-12007211,-15679125,-7771569,-15258373
21,-1365874,-1359525,-1296743,-900105,-1331847,-1564129,-1063724,-1612959,-1338743,-1378721,-751229,-1417137
22,-3625840,-3423587,-2865530,-2430054,-3605303,-4252053,-2644538,-4099242,-3376769,-3479104,-2018487,-3638336
23,-404102,-338689,-289410,-231627,-322868,-401363,-253582,-412988,-347606,-391065,-171970,-374266
24,-1468035,-1483124,-1094520,-937432,-1284439,-1598284,-1152053,-1525329,-1197635,-1277358,-816086,-1391966
25,-1854144,-1664382,-1580339,-1211392,-1625464,-2017618,-1472986,-2012637,-1767868,-1608184,-917113,-1651075
26,-2454740,-2246414,-1920131,-1538618,-2459096,-2690767,-1781975,-2592510,-2077955,-2418669,-1334326,-2275474
27,-713163,-741500,-638160,-461044,-641726,-906407,-538307,-792272,-631951,-774552,-424464,-689907
28,62935397,53925189,89800765,73182364,88898687,56531656,81928853,83883692,90835513,84696571,85024906,53288399
29,-26494815,-22903069,-40456195,-34006729,-42423953,-27409059,-33775125,-36687036,-41042906,-39247829,-36978094,-21932570
30,-2701354,-2292513,-4003886,-3480213,-3751958,-2276949,-3831128,-4053567,-3723927,-3646419,-3875350,-2193320
31,-6903529,-6040881,-8999879,-8859167,-10315340,-7009597,-9729627,-9388096,-9421268,-9764483,-10104336,-6025217
32,-742125,-668336,-1090282,-779994,-1061114,-574730,-914148,-937664,-1118700,-991515,-891952,-622578
33,-3004974,-2247412,-4038201,-3194257,-3781884,-2691195,-3732122,-3946945,-3769268,-3631690,-3939592,-2301656
34,-3635465,-3045416,-4995746,-4388934,-4835074,-3428760,-5056752,-4859658,-5233669,-5103815,-4679973,-2916323
35,-4463301,-4126173,-7142092,-5237047,-7122613,-4230019,-6296385,-6393165,-7603663,-6983409,-6504510,-4278920
36,-1338399,-1226506,-1878316,-1692980,-1813241,-1153027,-1971506,-1867620,-2234011,-1784085,-1901804,-1094887
37,15104495,15638305,26940230,18295591,24002645,11871648,23759367,23487434,20892168,25408971,17004981,10657680
38,-6922154,-6719996,-11251219,-8188535,-10753091,-5620387,-11674472,-9402231,-9847130,-10592169,-8170720,-4761146
39,-744189,-684446,-1135391,-740206,-1056537,-587577,-1154625,-1015469,-919043,-1130498,-705547,-447074
40,-1820008,-1643381,-3339938,-2236128,-2909989,-1461544,-2630917,-2736210,-2555554,-2554023,-1729230,-1183866
41,-161575,-187636,-282811,-221047,-254049,-144005,-246538,-255904,-221757,-282216,-207965,-107626
42,-741256,-734801,-1121189,-847064,-1076637,-581037,-1155733,-1140205,-928524,-1022458,-732828,-507909
43,-938436,-936828,-1631024,-1004574,-1256873,-602967,-1434455,-1308212,-1228204,-1541439,-1029014,-547052
44,-1135946,-1337432,-2176367,-1388676,-1972095,-935781,-1810962,-1913852,-1681821,-1985257,-1268727,-853915
45,-323989,-329938,-540940,-428900,-480921,-296470,-569490,-545708,-522167,-517041,-375439,-255120
46,19509973,17256060,30532260,29272946,29336567,20351396,28675099,33553477,34517495,26255937,30608966,18118056
47,-8150515,-8450170,-14161620,-11982699,-14251244,-9764566,-13601224,-16479944,-15769647,-11713786,-13808185,-7671352
48,-918940,-807370,-1441691,-1189856,-1441481,-992324,-1184148,-1395247,-1624531,-1309585,-1271473,-888159
49,-1978540,-2042733,-3640742,-3022060,-3103005,-2469981,-3153289,-3620396,-4017528,-2657392,-3428688,-2234769
50,-226737,-177057,-348448,-348912,-340324,-233884,-339323,-346782,-416320,-265196,-350713,-191961
51,-864114,-798924,-1397111,-1424616,-1408363,-988295,-1420613,-1550303,-1530986,-1291985,-1244998,-880628
52,-985386,-1024168,-1624588,-1566421,-1513745,-1168867,-1433907,-1760511,-1764055,-1576381,-1568287,-1109268
53,-1643593,-1410736,-2420767,-2153538,-2533689,-1741008,-2146318,-2517357,-2704417,-2028595,-2603838,-1295382
54,-448703,-383620,-615643,-713736,-716076,-430361,-707885,-733111,-799880,-586058,-621736,-422427
55,73003216,67583964,96747422,54707115,53295086,73831265,60633129,67453237,98780894,52687090,71258255,83507400
56,-35434154,-33276599,-46411721,-25228351,-24803966,-34794166,-25081587,-32657990,-47301412,-23190677,-33853415,-41071028
57,-3225544,-3006614,-4716518,-2637046,-2192406,-3440909,-2564854,-3195750,-4621559,-2594599,-3474868,-3954659
58,-8214482,-6991832,-9881604,-6021642,-5967905,-8792535,-6362428,-7854754,-10736101,-6185030,-8422442,-8853593
59,-812381,-823867,-1084164,-547555,-657107,-785991,-693944,-790029,-1063936,-528306,-837702,-949150
60,-3200785,-3236733,-4576715,-2677342,-2564086,-3201135,-2673923,-2759863,-4136323,-2161622,-2908571,-3459881
61,-4510094,-4148358,-5977214,-2757866,-2721806,-3827683,-3316938,-3803865,-5738434,-3196559,-3787807,-4251787
62,-5157077,-4893590,-7177731,-4525995,-3788018,-5727447,-5302649,-5621094,-7901949,-4053787,-5484871,-5860902
63,-1561407,-1626403,-2267623,-1199024,-1272883,-1678802,-1497786,-1414558,-2426938,-1075041,-1500397,-1915308
64,18250804,14868472,28056752,14223850,13323772,14766253,16977276,16188777,29634268,11064289,19952311,20041776
65,-7843283,-6796938,-12240526,-6869228,-5372673,-6236231,-7200608,-6556026,-13129869,-4676077,-9364018,-9803799
66,-883645,-676768,-1122338,-683326,-609325,-684846,-753131,-685580,-1414587,-442590,-979960,-943903
67,-2008709,-1487720,-3285627,-1508088,-1391093,-1775032,-2004898,-1838656,-3448390,-1361565,-2442401,-2495975
68,-219648,-183425,-341821,-173916,-154994,-154234,-197334,-175394,-313187,-112737,-237479,-203441
69,-878705,-691557,-1382445,-644432,-585524,-704915,-777313,-745066,-1466348,-520870,-799241,-926859
70,-1101772,-896778,-1443616,-741177,-698199,-899590,-965921,-952907,-1522010,-581521,-1167492,-1042503
71,-1592251,-1260716,-2347593,-1012501,-1124904,-1261974,-1354606,-1335325,-2087610,-780627,-1615540,-1677444
72,-451604,-299487,-598692,-290908,-275494,-315325,-362086,-403555,-723809,-246577,-423325,-404866
73,25551126,27033586,35796546,18053348,17054428,27317568,18796270,20235971,32597695,20547965,28503302,33402960
74,-12281785,-11806223,-16195590,-8716303,-7594755,-12346026,-8571654,-8792279,-13697258,-9660014,-12192298,-13616846
75,-1071411,-1096480,-1629789,-758301,-754325,-1304916,-823868,-817673,-1590942,-938741,-1163913,-1561563
76,-2862315,-2916140,-3680507,-2237785,-2017248,-2969483,-1933361,-2483806,-3462148,-2092959,-3143791,-3950404
77,-295032,-281721,-360010,-215094,-177449,-277921,-210549,-251945,-394839,-241749,-339129,-403062
78,-1184703,-1206612,-1706514,-787069,-719494,-1217784,-802138,-1010960,-1342224,-929984,-1347763,-1538947
79,-1396550,-1412122,-1960177,-1021805,-1016393,-1460281,-1158758,-1212490,-1926307,-1095283,-1655140,-2087346
80,-2055703,-1910219,-2832136,-1380565,-1364825,-2260644,-1615169,-1655450,-2372522,-1789944,-2194746,-2825224
81,-551509,-553460,-858779,-444914,-346671,-561327,-421945,-459673,-699116,-436835,-646474,-790325
82,56564696,53003500,57123654,51517884,86240365,83822589,99534990,56551959,75595351,87960046,75992432,87753553
83,-26025524,-24023570,-23452691,-24109262,-38340811,-34138458,-48369463,-26510883,-31307040,-36132005,-37770955,-35668763
84,-2693681,-2344026,-2342553,-2075015,-3959339,-3442089,-4021826,-2656419,-3439053,-3864192,-3553160,-4368917
85,-6107421,-5810585,-7021257,-6051373,-10773242,-9081939,-10994327,-6548834,-7861085,-9613130,-9183322,-9278911
86,-587893,-545279,-588026,-545095,-985449,-855026,-1098610,-701066,-809897,-1016017,-880356,-987089
87,-2724738,-2462961,-2377917,-2391429,-4192334,-3632483,-3981861,-2692169,-3621911,-3866225,-3114375,-3960801
88,-3196353,-3030650,-3299636,-2687879,-5147180,-4667697,-5350859,-3211296,-4194381,-5144107,-3882597,-4467813
89,-4765178,-3830881,-4742612,-4411760,-7247016,-7070792,-7460187,-4155646,-6058210,-6830492,-5760591,-7218683
90,-1373322,-1152623,-1366324,-1216887,-1771647,-1846409,-2254182,-1313623,-1753534,-1859575,-1782794,-2038375
91,13575527,13250875,12567204,11849113,17248073,22632099,29860497,11875911,21166698,21110411,18998108,20183317
92,-6729976,-6401417,-5214635,-5538678,-8186261,-10063433,-14362489,-5530666,-10502083,-10387292,-7767663,-9444026
93,-573757,-581423,-551830,-577052,-788385,-946266,-1320510,-513412,-965560,-992444,-880529,-838505
94,-1568759,-1452547,-1515316,-1374790,-1918417,-2647780,-3326590,-1280946,-2625789,-2383045,-2237769,-2381177
95,-158356,-153332,-156029,-135853,-212057,-251822,-317201,-144379,-235638,-237761,-194390,-241255
96,-628560,-607225,-605967,-523211,-761411,-942950,-1259315,-593077,-932114,-888540,-848637,-811089
97,-840546,-680213,-638286,-639841,-1072470,-1382250,-1632544,-636013,-1152236,-1315230,-1048976,-1063853
98,-1050093,-1048268,-966784,-928678,-1460786,-1852892,-2327627,-836034,-1595638,-1616163,-1534232,-1707959
